pitch_type,game_date,release_speed,release_pos_x,release_pos_y,release_pos_z,player_name,batter,pitcher,zone,stand,p_throws,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension
FF,2020-10-05,94,-2.49,-2.49,6.25,Tyler Wade,642180,595928,14,L,R,-0.4,1.5,1.76,2.13,11.8485090005949,-136.231722167735,-8.22876971272981,-6.84230807979187,26.7837280229965,-12.3499057316502,94.7,2451,6.7
FF,2020-10-05,95.4,-1.62,-1.62,6.03,Alex Bregman,608324,607179,14,R,R,-0.8,1.5,0.58,0.65,7.60996977584745,-138.371603563652,-11.9807571516853,-12.0543724081859,30.2374798456473,-10.0245329994343,95.8,2343,6.7
SL,2020-10-05,86.1,-2.73,-2.73,6.2,Tyler Wade,642180,595928,14,L,R,0.3,0.5,0.91,0.92,8.12054635737544,-125.148635917934,-7.33456005526301,1.28678076260086,22.7754834534009,-25.7710716676829,86.5,2703,6.4
CH,2020-10-05,84.9,-1.65,-1.65,6.05,Alex Bregman,608324,607179,14,R,R,-0.8,1,0.98,0.17,7.90277421115366,-123.173084370062,-9.503769216892,-10.1834156728361,24.6276433743369,-19.8915141923175,85.3,1351,6.7
FF,2020-10-05,94.1,-2.6,-2.6,6.36,Tyler Wade,642180,595928,2,L,R,-0.7,1.4,-0.27,3.1,7.56767284579411,-136.796683671802,-5.79601616822976,-10.1299827679847,30.8401630554592,-13.8209269947028,94.4,2267,6.6
FF,2020-10-05,96,-1.63,-1.63,6,Alex Bregman,608324,607179,14,R,R,-0.5,1.4,1.22,0.9,8.61353006007308,-139.154065624545,-11.13510373761,-8.14126410445072,32.5230598388143,-10.9778708373392,95.9,2219,6.6
SL,2020-10-05,85.1,-2.8,-2.8,6.24,Tyler Wade,642180,595928,14,L,R,0.4,0.1,0.71,1.24,7.52401050647561,-123.818287185377,-5.63969456955886,2.33136541880382,22.5418795451822,-30.4468893284436,85.4,2658,6.3
FF,2020-10-05,93.6,-1,-1,5.44,Khris Davis,501981,664299,9,R,R,-0.5,1.6,0.62,2.06,5.28100413963812,-136.095277531539,-6.44801763982441,-7.43074979630437,29.1682546528503,-11.227758001686,93.3,2499,6.1
FF,2020-10-05,93.5,-2.61,-2.61,6.29,Tyler Wade,642180,595928,1,L,R,-0.5,1.4,-0.75,3,5.83214982381795,-136.063445353096,-5.94649308366976,-6.96000955560484,29.1379764533888,-13.3118031666007,94.1,2307,6.6
SL,2020-10-05,82.8,-0.96,-0.96,5.41,Khris Davis,501981,664299,14,R,R,0.4,0.7,1.9,1.3,5.6482783913966,-120.521260822998,-4.20049113131042,3.27945250029874,22.5537949502021,-25.1808613502376,82.7,2571,6.1
SL,2020-10-05,86.5,-2.74,-2.74,6.28,Aaron Hicks,543305,595928,11,L,R,0.3,0.3,-0.44,4.07,4.8978825569772,-126.009672326271,0.256773766261967,2.19800444711846,24.2599218398448,-29.1367061163541,86.8,2595,6.3
SL,2020-10-05,83.9,-0.98,-0.98,5.36,Khris Davis,501981,664299,14,R,R,0.1,1.2,2.59,1.27,8.06412438963701,-121.876331690055,-5.3556473551606,-0.814469002342665,22.970266495762,-19.526419370412,83.6,2626,6.1
FF,2020-10-05,94.3,-2.58,-2.58,6.36,Aaron Hicks,543305,595928,2,L,R,-0.4,1.4,0.12,3.29,7.92226657806124,-137.036333665699,-5.41526080746262,-6.74002151020803,31.2315591094435,-13.3544309933613,94.4,2254,6.5
FF,2020-10-05,93.2,-0.9,-0.9,5.54,Khris Davis,501981,664299,3,R,R,-0.5,1.6,0.44,3.11,4.57692305823394,-135.629496784762,-4.05758075886273,-7.46772089302861,29.54551347392,-11.2643313962637,92.7,2489,6
SL,2020-10-05,85.2,-2.95,-2.95,6.19,Aaron Hicks,543305,595928,6,L,R,0.5,0.1,0.7,2.83,7.56614165197869,-123.846250427471,-1.7054397038557,3.67159557036271,25.3040211002193,-31.2252532374174,85.1,2665,6.3
FF,2020-10-05,94.6,-0.98,-0.98,5.49,Khris Davis,501981,664299,4,R,R,-0.6,1.7,-0.47,2.63,2.71536930515174,-137.755078448876,-5.55205511898486,-8.53434638808268,30.3606034794153,-9.54402887850496,94.2,2513,6
SL,2020-10-05,87.8,-2.76,-2.76,6.17,Aaron Hicks,543305,595928,14,L,R,0.3,0.3,0.79,-0.21,8.06188485460731,-127.346846479014,-9.90294209221206,1.26416747197349,24.6188853527162,-27.312155973169,87.9,2739,6.4
SL,2020-10-05,79.8,-1.21,-1.21,5.46,Khris Davis,501981,664299,1,R,R,0.9,0.4,-0.64,3.08,-0.386523190555687,-116.274628181555,0.749717804945513,8.04158912896434,20.254672746347,-29.2824434937449,79.5,2583,5.9
SL,2020-10-05,85.8,-2.88,-2.88,6.23,Aaron Hicks,543305,595928,14,L,R,0.3,0.2,1.07,2.14,8.79064313738692,-124.62594794941,-3.84708516954776,0.999965759330892,24.8318860361697,-29.3210854717704,85.8,2676,6.3
SL,2020-10-05,80.3,-1.33,-1.33,5.43,Matt Olson,621566,664299,7,L,R,0.8,0.4,-0.52,2.08,0.313291108973392,-117.00679495759,-1.55646837210533,7.24616655159922,19.9013906112819,-28.4376791860299,80.1,2618,5.8
SL,2020-10-05,80.2,-1.23,-1.23,5.47,Matt Olson,621566,664299,5,L,R,0.8,0.6,0.12,2.65,1.55665954112438,-116.984535505939,-0.892789232798447,6.72891308298717,18.8925250772572,-26.2151147016809,80.3,2564,5.9
SL,2020-10-05,88.9,-2.77,-2.77,6.28,Aaron Judge,592450,595928,9,R,R,0.2,0.3,0.79,1.86,8.28693562345899,-129.158135962387,-5.41028117751498,0.700744957254372,25.5676682115939,-27.9780367463112,89.1,2750,6.4
FF,2020-10-05,93.6,-1.15,-1.15,5.37,Matt Olson,621566,664299,2,L,R,-0.7,1.7,-0.25,3.29,3.92552583996474,-136.233866038958,-3.3129357348419,-10.0267684652068,30.3962573022581,-10.7446275605516,93.1,2497,6
FF,2020-10-05,94.7,-2.59,-2.59,6.28,Aaron Judge,592450,595928,4,R,R,-0.6,1.3,-0.83,2.81,6.06144981317089,-137.70354243005,-6.4106312900305,-9.54785873057616,30.1123230759348,-13.8696224140591,95.2,2429,6.6
SL,2020-10-05,85.1,-3.04,-3.04,6.19,Aaron Judge,592450,595928,5,R,R,0.3,0.4,-0.23,2.87,6.01998525623665,-123.986498089817,-2.26093277551385,1.93820511149312,22.0974032980969,-28.2789404610532,85.7,2696,6.4
